"","Areaname","STCOU","LND010190F","LND010190D","LND010190N1","LND010190N2","LND010200F","LND010200D","LND010200N1","LND010200N2","LND110180F","LND110180D","LND110180N1","LND110180N2","LND110190F","LND110190D","LND110190N1","LND110190N2","LND110200F","LND110200D","LND110200N1","LND110200N2","LND110210F","LND110210D","LND110210N1","LND110210N2","LND210190F","LND210190D","LND210190N1","LND210190N2","LND210200F","LND210200D","LND210200N1","LND210200N2"
"44","Limestone, AL","01083",0,607.12,"0000","0000",0,607.08,"0000","0000",0,558.85,"0000","0000",0,568.09,"0000","0000",0,568.05,"0000","0000",0,559.94,"0000","0000",0,39.03,"0000","0000",0,39.03,"0000","0000"
"45","Lowndes, AL","01085",0,725.09,"0000","0000",0,725.03,"0000","0000",0,714.39,"0000","0000",0,718,"0000","0000",0,717.94,"0000","0000",0,715.91,"0000","0000",0,7.09,"0000","0000",0,7.1,"0000","0000"
"46","Macon, AL","01087",0,613.29,"0000","0000",0,613.24,"0000","0000",0,613.65,"0000","0000",0,610.57,"0000","0000",0,610.52,"0000","0000",0,608.89,"0000","0000",0,2.72,"0000","0000",0,2.72,"0000","0000"
"47","Madison, AL","01089",0,812.89,"0000","0000",0,812.85,"0000","0000",0,805.69,"0000","0000",0,804.96,"0000","0000",0,804.92,"0000","0000",0,801.59,"0000","0000",0,7.93,"0000","0000",0,7.93,"0000","0000"
"48","Marengo, AL","01091",0,982.92,"0000","0000",0,982.85,"0000","0000",0,981.87,"0000","0000",0,977.12,"0000","0000",0,977.04,"0000","0000",0,976.88,"0000","0000",0,5.8,"0000","0000",0,5.8,"0000","0000"
"49","Marion, AL","01093",0,743.62,"0000","0000",0,743.57,"0000","0000",0,743.4,"0000","0000",0,741.46,"0000","0000",0,741.41,"0000","0000",0,742.29,"0000","0000",0,2.16,"0000","0000",0,2.16,"0000","0000"
"50","Marshall, AL","01095",0,623.21,"0000","0000",0,623.16,"0000","0000",0,567.25,"0000","0000",0,567.1,"0000","0000",0,567.06,"0000","0000",0,565.84,"0000","0000",0,56.11,"0000","0000",0,56.1,"0000","0000"
"51","Mobile, AL","01097",0,1644.14,"0000","0000",0,1644.02,"0000","0000",0,1237.96,"0000","0000",0,1233.36,"0000","0000",0,1233.09,"0000","0000",0,1229.44,"0000","0000",0,410.78,"0000","0000",0,410.93,"0000","0000"
"52","Monroe, AL","01099",0,1034.62,"0000","0000",0,1034.53,"0000","0000",0,1019.21,"0000","0000",0,1025.97,"0000","0000",0,1025.85,"0000","0000",0,1025.68,"0000","0000",0,8.65,"0000","0000",0,8.67,"0000","0000"
"53","Montgomery, AL","01101",0,799.81,"0000","0000",0,799.76,"0000","0000",0,793.14,"0000","0000",0,789.87,"0000","0000",0,789.76,"0000","0000",0,784.25,"0000","0000",0,9.94,"0000","0000",0,9.99,"0000","0000"
